Date,Open,High,Low,Close,Volume,Change
2023-04-26,"22,100원","22,600원","22,050원","22,200원","788,978건",-0.89%
2023-04-27,"22,100원","22,200원","21,600원","22,050원","1,173,282건",-0.68%
2023-04-28,"22,200원","22,500원","21,950원","22,000원","1,043,073건",-0.23%
2023-05-02,"22,000원","22,600원","22,000원","22,550원","676,863건",2.50%
2023-05-03,"23,650원","25,150원","23,600원","24,100원","8,238,190건",6.87%
2023-05-04,"24,000원","24,100원","22,800원","23,550원","3,084,116건",-2.28%
2023-05-08,"23,850원","24,850원","23,800원","24,400원","2,582,338건",3.61%
2023-05-09,"24,300원","24,850원","24,150원","24,750원","1,285,537건",1.43%
2023-05-10,"24,750원","25,150원","24,250원","25,000원","1,940,432건",1.01%
2023-05-11,"25,150원","25,350원","24,800원","25,000원","1,351,610건",0.00%
2023-05-12,"25,050원","25,150원","24,300원","24,450원","1,039,130건",-2.20%
2023-05-15,"24,300원","24,900원","24,100원","24,650원","839,407건",0.82%
2023-05-16,"24,450원","25,400원","24,450원","25,150원","1,527,116건",2.03%
2023-05-17,"25,000원","25,350원","24,700원","24,850원","740,521건",-1.19%
2023-05-18,"25,000원","25,300원","24,600원","24,950원","747,529건",0.40%
2023-05-19,"25,000원","25,250원","24,750원","25,200원","1,042,558건",1.00%
2023-05-22,"25,300원","25,950원","25,300원","25,800원","1,448,807건",2.38%
2023-05-23,"25,700원","26,300원","25,650원","26,200원","1,297,230건",1.55%
2023-05-24,"26,000원","26,150원","25,250원","25,450원","1,123,431건",-2.86%
2023-05-25,"25,200원","25,550원","25,050원","25,300원","703,093건",-0.59%
2023-05-26,"25,150원","25,400원","24,700원","25,000원","837,619건",-1.19%
2023-05-30,"25,500원","25,950원","24,800원","25,950원","1,383,900건",3.80%
2023-05-31,"25,850원","26,600원","25,800원","26,200원","3,434,951건",0.96%
2023-06-01,"26,150원","26,450원","26,000원","26,250원","1,007,379건",0.19%
2023-06-02,"26,400원","26,600원","26,200원","26,550원","1,194,424건",1.14%
2023-06-05,"26,800원","27,200원","26,700원","26,950원","1,562,561건",1.51%
2023-06-07,"26,950원","27,200원","26,700원","26,900원","923,542건",-0.19%
2023-06-08,"26,850원","26,850원","25,700원","26,000원","1,597,929건",-3.35%
2023-06-09,"26,100원","26,300원","25,700원","25,850원","1,074,264건",-0.58%
2023-06-12,"25,950원","27,000원","25,900원","26,900원","1,811,666건",4.06%
2023-06-13,"26,850원","26,900원","26,450원","26,600원","955,094건",-1.12%
2023-06-14,"26,600원","26,600원","26,000원","26,200원","800,120건",-1.50%
2023-06-15,"26,100원","26,450원","25,350원","25,400원","1,145,512건",-3.05%
2023-06-16,"25,700원","26,200원","25,500원","25,850원","3,013,691건",1.77%
